
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From:WIFISC_IR_REGISTRATION_FAIL_3,WPS Internal Registrar did not receive request from any wireless station in 2 minutes and stopped.
WIFISC_IR_REGISTRATION_FAIL_3,Registrador interno WPS no ha recibido ninguna solicitud desde ninguna estación inalámbrica en 2 minutos y se ha detenido.
#From:IPMSCHAP_AUTH_RESULT,MSCHAP sent authentication response to peer.
IPMSCHAP_AUTH_RESULT,MSCHAP ha enviado respuesta de autentificación al puerto.
#From:IPMSCHAP_AUTH_SENT,MSCHAP authentication details were sent to authenticator.
IPMSCHAP_AUTH_SENT,Se han enviado los detalles de la autentificación MSCHAP al autentificador.
#From:IPMSCHAP_CHALLENGE_RECVD,MSCHAP authentication challenge received from peer.
IPMSCHAP_CHALLENGE_RECVD,Se ha recibido el desafío de autentificación de MSCHAP desde el puerto.
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS,Gateway address %v must not be the address of the intended interface
GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS,La dirección gateway %v no ha de ser la dirección de la interfaz buscada
#From:tf.intro.FWChB,To upgrade the firmware, locate the upgrade file on the local hard drive with the Browse button.Once you have found the file to be used, click the Upload button below to start the firmware upgrade.
tf.intro.FWChB,Para actualizar el firmware, localice el fichero de actualización en el disco duro local por medio del botón Examinar. Una vez haya encontrado el fichero que ha de utilizar, haga clic en el botón Cargar para iniciar la actualización del firmware.
#From:tf.COLF,Check Online Now for Latest Firmware Version
tf.COLF,Buscar en línea la última versión de firmware
#From:WIFISC_IR_REGISTRATION_FAIL_2,WPS Internal Registrar failed to add wireless station %m, reason: %s, err_code %u.
WIFISC_IR_REGISTRATION_FAIL_2,El registrador interno WPS ha fallado al añadir la estación inalámbrica %m, motivo: %s, err_code %u.
#From:GW_INET_ACCESS_DROP_ACCESS_CONTROL_WITH_PORT,Internet access control dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_ACCESS_CONTROL_WITH_PORT,El control de acceso a internet ha perdido un paquete desde %v:%u hasta %v:%u (protocolo %u)
#From:IPMSCHAP_AUTH_FAIL,MSCHAP authentication failed - please check login details.
IPMSCHAP_AUTH_FAIL,La autentificación MSCHAP ha fallado; compruebe los detalles de entrada al sistema.
#From:GW_DHCP_SERVER_WINS_INCOMPATIBILITY_WARNING,<warn>WINS/NetBIOS settings cannot be learned from the internet in this Internet mode - WINS will not function as expected.</warn>
GW_DHCP_SERVER_WINS_INCOMPATIBILITY_WARNING,Los parámetros <warn>WINS/NetBIOS no pueden conocerse desde internet en este modo internet; WINS no funcionará como se espera.</warn>
#From:GW_SCHEDULES_IN_USE_INVALID.s2,can't be deleted or renamed because it is used.
GW_SCHEDULES_IN_USE_INVALID.s2,no puede borrarse o cambiársele el nombre porque se está utilizando.
#From:TA16,To use this feature, you must first have a Dynamic DNS account from one of the providers in the drop down menu.
TA16,Para usar esta característica, primero ha de disponer de una cuenta de DNS dinámico con uno de los proveedores que figuran en el menú desplegable.
#From:tf.ADS,Available Download Site
tf.ADS,Sitio de descarga disponible
#From:WIFISC_AP_PROXY_PROCESS_CLOSE,STA with MAC (%m) WPS process closed
WIFISC_AP_PROXY_PROCESS_CLOSE,STA con MAC (%m) WPS proceso cerrado
#From:tf.intro.FWU2,to improve functionality and performance.
tf.intro.FWU2,para mejorar la funcionalidad y el rendimiento.
#From:WIFISC_IR_REGISTRATION_INPROGRESS,WPS Internal Registrar started %s registration
WIFISC_IR_REGISTRATION_INPROGRESS,El registrador interno WPS ha iniciado %s el registro
#From:IPMSCHAP_AUTH_TIMEOUT,MSCHAP authentication timed out - authentication failed.
IPMSCHAP_AUTH_TIMEOUT,Ha pasado el tiempo de espera de autentificación MSCHAP; la autentificación ha fallado.
#From:tf.LFWD,Latest Firmware Date
tf.LFWD,Fecha del último firmware
#From:WIFISC_IR_REGISTRATION_FAIL_1,WPS Internal Registrar failed to add new station, reason %s
WIFISC_IR_REGISTRATION_FAIL_1,El registrador interno WPS ha fallado al añadir la nueva estación, motivo %s
#From:GW_INET_ACCESS_DROP_PORT_FILTER_WITH_PORT,Internet access port filter dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_PORT_FILTER_WITH_PORT,El filtro de puerto de acceso a internet ha perdido un paquete desde %v:%u hasta %v:%u (protocolo %u)
#From:GW_DHCP_SERVER_WINS_MODE_INVALID,WINS/NetBIOS may not operate in this mode given your Internet connection settings.
GW_DHCP_SERVER_WINS_MODE_INVALID,WINS/NetBIOS no puede funcionar en este modo dados los parámetros de conexión a internet.
#From:IPMSCHAP_AUTH_SUCCESS,MSCHAP authentication successful.
IPMSCHAP_AUTH_SUCCESS,La autentificación MSCHAP se ha realizado correctamente.
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS_WARNING,<warn>Route gateway IP %v matches the address of the intended interface and will be disabled.</warn>
GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS_WARNING,<warn>La ruta IP gateway %v se ajusta a la dirección de la interfaz buscada y se deshabilitará.</warn>
#From:GW_SCHEDULES_IN_USE_INVALID.s1,Schedule
GW_SCHEDULES_IN_USE_INVALID.s1,Programación
#From:GW_UPNP_IGD_PORTMAP_RELEASE,UPnP deleted entry %v <-> %v:%d <-> %v%d %s '%s' (client released address)
GW_UPNP_IGD_PORTMAP_RELEASE,UPnP ha eliminado la entrada %v <-> %v:%d <-> %v%d %s '%s' (el cliente ha liberado la dirección)
#From:WIFISC_AP_PROXY_END_ON_MSG,WPS end for STA with MAC (%m) on msg: %s
WIFISC_AP_PROXY_END_ON_MSG,WPS termina para STA con MAC (%m) en msg: %s
#From:WIFISC_IR_REGISTRATION_SESSION_OVERLAP,WPS Internal Registrar detected session overlap between %m and %m
WIFISC_IR_REGISTRATION_SESSION_OVERLAP,WPS Internal Registrar ha detectado una superposición de sesión entre %m y %m
#From:dlink.1.YM23,Destination Port and Start Port should not be equal to 0 for Port Filter
dlink.1.YM23,El puerto de destino y el puerto de inicio no deben ser iguales a 0 para el filtro de puerto
#From:tf.intro.FWU1,There may be new firmware for your
tf.intro.FWU1,Puede haber nuevo firmware para su
#From:PPTP_EVENT_REMOTE_WINDOW_SIZE,The PPTP transmit window is %u
PPTP_EVENT_REMOTE_WINDOW_SIZE,La ventana de transmisión PPTP es %u
#From: dlink.1.add.new,Add New
dlink.1.add.new,Agregar
#From: .please_wait,Please wait...
.please_wait,espere, por favor...
#From:.r.alert.new1,Destination IP address are same
.r.alert.new1,La dirección IP de destino es la misma
#From:KR58.ww,Enabling WLAN Partition prevents associated wireless clients from communicating with each other.
KR58.ww,Al habilitar la partición de la WLAN, se impide que los clientes inalámbricos asociados  se comuniquen entre ellos.
#From:wwl.s4.intro.z3,- Exactly 10 or 26 characters using 0-9 and A-F
wwl.s4.intro.z3, Exactamente 10 o 26 caracteres, usando 0-9 y A-F
#From:wwl.s4.intro.za1,The WPA (Wi-Fi Protected Access) key must meet one of following guildelines:
wwl.s4.intro.za1,La clave WPA (Wi-Fi Protected Access) ha de cumplir una de las siguientes pautas:
#From:vs.http.port,Remote Admin Port confict with Virtual Server Item
vs.http.port,El puerto admin remoto entra en conflicto con el elemento de servidor virtual
#From:tool.admin.check,, Please check
tool.admin.check,, Compruebe
#From:network.dhcp.range,DHCP Range Invalid, FROM not bigger than TO
network.dhcp.range,El rango DHCP no es válido, DE no es mayor que A
#From:KR108,This mechanism protects against activity from spoofed or forged IP addresses, mainly by blocking packets appearing on interfaces and in directions which are logically not possible.
KR108,Este mecanismo protege contra la actividad de direcciones IP falsas u olvidadas, principalmente bloqueando los paquetes que aparece en interfaces y en direcciones que lógicamente no son posibles.
#From:tool.admin.pfname,Port Forwarding Item
tool.admin.pfname,Elemento de direccionamiento de puerto
#From:wps.reboot.need,Are you sure you want to reset the device to Unconfiged?
wps.reboot.need,¿Seguro que quiere restablecer el dispositivo sin configuración?
#From:wwl.s4.intro.z4,A longer WEP key is more secure than a short one
wwl.s4.intro.z4,Es más segura una clave WEP más larga que una corta
#From:ddns.connecting,Connecting
ddns.connecting,Conectando
#From:tool.admin.portconflict,Remote Admin Port conflict with
tool.admin.portconflict,El puerto admin remoto entra en conflicto con
#From:wwz.manual.key,Manually assign a network key
wwz.manual.key,Asigna manualmente una clave de red
#From:wps.p3.5,please press the push button on your wireless device and click the below 'Connect' Button within 120 seconds
wps.p3.5,Pulse el botón de comando de su dispositivo inalámbrico y haga clic en el botón «Conectar»  dentro de 120 segundos
#From:wwl.s4.intro.za2,- Between 8 and 63 characters (A longer WPA key is more secure than a short one)
wwl.s4.intro.za2, Entre 8 y 63 caracteres (una clave WPA más larga es más segura que una corta)
#From:ddns.disconnect,Disconnect
ddns.disconnect,Desconectar
#From:wwz.wwl.intro.s3.1,Give your network a name, using up to 32 characters.
wwz.wwl.intro.s3.1,Asígnele un nombre a la red, de hasta 32 caracteres.
#From:wwz.auto.assign.key,Automatically assign a network key (Recommended)
wwz.auto.assign.key,Asígnele automáticamente una clave de red (Recomendado)
#From:wwz.wwl.title.s3,Step 1: Welcome TO THE D-LINK WIRELESS SECURITY SETUP WIZARD
wwz.wwl.title.s3,Paso 1: Bienvenido al ASISTENTE DE INSTALACI?N DE SEGURIDAD INAL?MBRICA DE D-LINK
#From:wps.p3.1,There are two ways to add wireless device to your wireless network:
wps.p3.1,Has dos modos de añadir un dispositivo inalámbrico a su red inalámbrica:
#From:tool.admin.vsname,Virtual Server Item
tool.admin.vsname,Elemento del servidor virtual
#From:wps.KR42,Select this option will display the current wireless settings for you to configure the wireless device manually
wps.KR42,Al seleccionar esta opción, se mostrarán los parámetros inalámbricos actuales para que configure el dispositivo inalámbrico manualmente
#From:wps.KR51,Select this option if your wireless device supports WPS (Wi-Fi Protected Setup)
wps.KR51,Seleccione esta opción si su dispositivo inalámbrico admite WPS (Wi-Fi Protected Setup)
#From:wwz.auto.assign.key2,To prevent outsiders from accessing your network, the router will automatically assign a security (also called WEP or WPA key) to your network.
wwz.auto.assign.key2,Para impedir que intrusos accedan a su red, el router asignará automáticamente seguridad (clave WEP o WPA) a su red.
#From:wwl.s4.intro.za3,- Exactly 64 characters using 0-9 and A-F
wwl.s4.intro.za3,Exactamente 64 caracteres, usando 0-9 y A-F
#From:wps.lost,This will cause all wireless settings to be lost.
wps.lost,Esto hará que todos los parámetros inalámbricos se pierdan.
#From:wps.p3.2,-PIN (Personal Identification Number)
wps.p3.2,PIN (número personal de identificación)
#From:wwl.s4.intro.z1,The WEP (or Wired Equivalent Privacy) key must meet one of following guildelines:
wwl.s4.intro.z1,La clave WEP (Wired Equivalent Privacy) ha de cumplir una de las siguientes pautas:
#From:wps.KR37,Please select one of following configuration methods and click next to continue.
wps.KR37,Seleccione uno de los siguientes métodos de configuración y haga clic en Siguiente para configurar.
#From:wwz.wpa.support,Use WPA encryption instead of WEP(WPA is stronger than WEP and all D-Link wireless client adapters support WPA)
wwz.wpa.support,Use la encriptación WPA en vez de WEP (WPA es más potente que WEP y que todos los adaptadores clientes inalámbricos de D-Link admiten WPA)
#From:.filter.mode,Filter Mode:
.filter.mode,Modo de filtro:
#From:network.dhcp.ip.in.server,Invalid LAN IP Address, ip address in DHCP Server range
network.dhcp.ip.in.server,La dirección IP de la LAN no es válida, dirección IP en rango del servidor DHCP
#From:KR22.ww,Invalid PIN number.
KR22.ww,El número PIN no es válido.
#From:wps.messgae1_1,Please start WPS on the wireless device you are adding to your wireless network winth
wps.messgae1_1,Inicie WPS en el dispositivo inalámbrico que está añadiendo a la red inalámbrica dentro de
#From:wps.messgae1_2,Please press down the Push Button (physical or virtual) on the wireless device you are adding to your wireless network within
wps.messgae1_2,Pulse el botón de comando (físico o virtual) del dispositivo inalámbrico que está añadiendo a su red inalámbrica dentro de
#From:wps.LW13,Add Wireless Device WITH WPS (WI-FI PROTECTED SETUP) Wizard
wps.LW13,Asistente para añadir dispositivo inalámbrico con WPS (WI-FI PROTECTED SETUP)
#From:td.intro.DDNS.DLINK,Sign up for D-Link's Free DDNS service at
td.intro.DDNS.DLINK,Registrarse en el servicio DDNS Free de D-Link en
#From:ddns.connected,Connected
ddns.connected,Conectado
#From:wps.p3.3,-PBC (Push Button Configuration)
wps.p3.3,PBC (Push Button Configuration)
#From:wwz.manual.key2,Use this options if you prefer to create our own key.
wwz.manual.key2,Use estas opciones si prefiere crear su propia clave.
#From:dlink.awf.intro.WF,The Website Filter option allows you to set up a list of Web sites you would like to allow or deny through your network. To use this feature, you must also select the "Apply Web Filter" checkbox in the Access Control section.
dlink.awf.intro.WF,La opción de filtro de sitio web le permite configurar una lista de sitios web de acceso permitido o denegado a través de la red. Para usar esta característica, ha de seleccionar la casilla de verificación «Aplicar filtro web» en el apartado Control de acceso.
#From:dlink.wf.intro,Configure Website Filter below:
