
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From:guestzone.inclw,Include Wireless
guestzone.inclw,Includi wireless
#From:guest,Guest
guest,Guest
#From:lower.wnt,lower than wireless network
lower.wnt,inferiore alla rete wireless
#From:equal.wnt,equal to wireless network
equal.wnt,uguale alla rete wireless
#From:.lowest,lowest
.lowest,minimo
#From:ssid.lst,SSID List
ssid.lst,Elenco SSID
#From:dlink.help150,Guest clients can reach to the internet along guest SSIDs
dlink.help150,I client guest possono accedere a Internet unitamente agli SSID guest
#From:mult.ssid,Multiple SSID
mult.ssid,SSID multipli
#From:dlink.help155,You may assign more than one SSID to each radio card.
dlink.help155,? possibile assegnare più SSID a ciascuna scheda radio.
#From:add.ed.ssid,Add/Edit SSID
add.ed.ssid,Aggiungi/Modifica SSID
#From:dlink.help156,Enable or disable this SSID. When enabled, the following parameters are in effect.
dlink.help156,Consente di abilitare o disabilitare questo SSID. Quando è abilitato, vengono attivati i seguenti parametri.
#From:dlink.help157,This is the network to which the SSID belongs; SSID clients that belong to the same network can transmit data over this subnet.
dlink.help157,??Rete a cui appartiene l'SSID. I client SSID appartenenti alla stessa rete possono trasmettere dati tramite questa subnet.
#From:wpin.filter,WAN Ping Inbound Filter
wpin.filter,Filtro in ingresso ping WAN
#From:dlink.help151,This shows SSIDs that you have defined.
dlink.help151,Vengono visualizzati gli SSID definiti.
#From:dlink.help152,Click the Enable checkbox at the left to directly activate or de-activate the entry.
dlink.help152, Fare clic sulla casella di controllo Abilita a sinistra per attivare o disattivare direttamente la voce. Per modificare una voce, fare clic sull'icona Modifica.
#From:dlink.help153,An entry can be changed by clicking the Edit icon or can be deleted by clicking the Delete icon.
dlink.help153, Per eliminarla, fare clic sull'icona Elimina
#From:dlink.help154,When you click the Edit icon, the item is highlighted, and the "Edit SSID" section is activated for editing.
dlink.help154,Quando si fa clic su Modifica, la voce viene evidenziata e la sezione "Modifica SSID" risulta attivata per la modifica.
#From:dlink.help158,Select a filter that controls which WAN computers can use the ping feature.
dlink.help158,Selezionare un filtro per controllare i computer WAN autorizzati all'utilizzo della funzione ping.
#From:dlink.help159,If you do not see the filter you need in the list of filters, go to the  Advanced ??Inbound Filter screen and create a new filter.
dlink.help159,Se il filtro desiderato non è incluso nell'elenco, passare alla schermata Avanzate??Filtro in ingresso, quindi creare un nuovo filtro.


#From:GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED,WAN interface speed measurement completed
GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED,Misurazione della velocit? dell'interfaccia di WAN terminata
#From:GW_WAN_RATE_ESTIMATOR_RESOURCE_ERROR,WAN interface speed measurements not started as low on resources
GW_WAN_RATE_ESTIMATOR_RESOURCE_ERROR,Misurazione della velocit? dell'interfaccia di WAN non avviata per risorse insufficienti
#From:WIFISC_AP_PROXY_PROCESS_START,STA with MAC (%m) requested for WPS registration
WIFISC_AP_PROXY_PROCESS_START,STA con indirizzo MAC (%m) ha richiesto la registrazione WPS
#From:GW_WLS_SCHEDULE_START,gw_wireless_schedule start
GW_WLS_SCHEDULE_START,avvio gw_wireless_schedule
#From:aa.alert.7.new1,are same Machine.
aa.alert.7.new1,corrispondono allo stesso sistema.
#From:IPMSCHAP_AUTH_FAIL_AND_NO_RETRY,MSCHAP send authentication response (Failure and no Retry).
IPMSCHAP_AUTH_FAIL_AND_NO_RETRY,MSCHAP invia risposta autenticazione (errore senza nuovo tentativo).
#From:dlink.1.bwl.schld,Scheduling for Wireless Settings
dlink.1.bwl.schld,Pianificazione per impostazioni wireless
#From:tf.FWCheckInf,Check Latest Firmware Version
tf.FWCheckInf,Verifica ultima versione firmware
#From:tf.ENFA,Email me if a newer Firmware is available
tf.ENFA,Notifica via email la disponibilit? di un nuovo firmware
#From:GW_WAN_RATE_ESTIMATOR_CONVERGENCE_ERROR,WAN interface speed measurement aborted as they did not converge
GW_WAN_RATE_ESTIMATOR_CONVERGENCE_ERROR,Misurazione della velocit? dell'interfaccia di WAN abortita per mancata convergenza
#From:GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,WAN interface speed measurement completed. Upstream speed is %u kbps
GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,Misurazione della velocit? dell'interfaccia di WAN terminata La velocit? di trasmissione corrisponde a %u kbps
#From:IPMSCHAP_AUTH_SEND_CHALLENGE,MSCHAP authenticator send challenge.
IPMSCHAP_AUTH_SEND_CHALLENGE,Autenticatore MSCHAP invia richiesta.
#From:GW_WLS_SCHEDULE_STOP,gw_wireless_schedule stop
GW_WLS_SCHEDULE_STOP,arresto gw_wireless_schedule
#From:add_wireless_device,Adding wireless device:
add_wireless_device,Aggiunta di un dispositivo wireless:
#From:help890_1,Register the email notification service online to receive an email notification when a newer version of the firmware is available.
help890_1,Registrazione online del servizio di notifica via email che consente di ricevere un messaggio di posta elettronica in caso di disponibilit? di una versione firmware più aggiornata.
#From:tt.week.6,6th
tt.week.6,6°
#From:GW_ROUTES_GATEWAY_SUBNET_SAME,Destination and Gateway should not reside on the same subnet %v
GW_ROUTES_GATEWAY_SUBNET_SAME,Destinazione e Gateway non possono appartenere alla stessa sottorete %v
#From:GW_WLS_SCHEDULE_INIT,gw_wireless_schedule init
GW_WLS_SCHEDULE_INIT,init gw_wireless_schedule
#From:tf.CKN,Check Now
tf.CKN,Verifica adesso
#From:dlink.1.bw1.schld.help,When Wireless is enabled, the default selection for scheduling is "Always". Selections for other schedules will be available in the drop down menu after users define schedules in the "Schedule" page. This function gets disabled when wireless is disabled.
dlink.1.bw1.schld.help,Se la modalit? Wireless è abilitata, la selezione di default per la pianificazione è "Sempre". Altre modalit? di pianificazione possono essere selezionate dal menu a cascata dopo che l'utente ha definito le pianificazioni nella relativa pagina. Disabilitando la modalit? Wireless questa funzione non è abilitata.
#From:WIFISC_IR_REGISTRATION_FAIL_3,WPS Internal Registrar did not receive request from any wireless station in 2 minutes and stopped.
WIFISC_IR_REGISTRATION_FAIL_3,WPS Internal Registrar non riceve richieste da nessuna stazione wireless da 2 minuti e sar? arrestato.
#From:IPMSCHAP_AUTH_RESULT,MSCHAP sent authentication response to peer.
IPMSCHAP_AUTH_RESULT,MSCHAP invia risposta di autenticazione a peer.
#From:IPMSCHAP_AUTH_SENT,MSCHAP authentication details were sent to authenticator.
IPMSCHAP_AUTH_SENT,Dettagli sull'autenticazione MSCHAP inviati all'autenticatore.
#From:IPMSCHAP_CHALLENGE_RECVD,MSCHAP authentication challenge received from peer.
IPMSCHAP_CHALLENGE_RECVD,Richiesta di autenticazione MSCHAP ricevuta da peer.
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS,Gateway address %v must not be the address of the intended interface
GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS,L'indirizzo del gateway %v non può corrispondere all'indirizzo dell'interfaccia designata
#From:resetUnconfiged,Reset to Unconfigured
resetUnconfiged,Ripristinato a non configurato
#From:tf.intro.FWChB,To upgrade the firmware, locate the upgrade file on the local hard drive with the Browse button.Once you have found the file to be used, click the Upload button below to start the firmware upgrade.
tf.intro.FWChB,Per aggiornare il firmware, individuare il file di aggiornamento sul disco fisso locale utilizzando il pulsante Sfoglia. Una volta localizzato il file fare clic sul pulsante Scarica per avviare la procedura di aggiornamento firmware.
#From:tf.COLF,Check Online Now for Latest Firmware Version
tf.COLF,Verifica online la disponibilit? di un firmware aggiornato
#From:WIFISC_IR_REGISTRATION_FAIL_2,WPS Internal Registrar failed to add wireless station %m, reason: %s, err_code %u.
WIFISC_IR_REGISTRATION_FAIL_2,WPS Internal Registrar non è stato in grado di aggiungere la stazione wireless %m, causa: %s, err_code %u.
#From:GW_INET_ACCESS_DROP_ACCESS_CONTROL_WITH_PORT,Internet access control dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_ACCESS_CONTROL_WITH_PORT,Il controllo degli accessi Internet ha cancellato un pacchetto da %v:%u a %v:%u (protocollo %u)
#From:IPMSCHAP_AUTH_FAIL,MSCHAP authentication failed - please check login details.
IPMSCHAP_AUTH_FAIL,Autenticazione MSCHAP fallita - verificare le informazioni di accesso.
#From:GW_DHCP_SERVER_WINS_INCOMPATIBILITY_WARNING,<warn>WINS/NetBIOS settings cannot be learned from the internet in this Internet mode - WINS will not function as expected.</warn>
GW_DHCP_SERVER_WINS_INCOMPATIBILITY_WARNING,Le impostazioni <warn>WINS/NetBIOS non possono essere acquisite da Internet in questa modalit? - WINS non funziona come previsto.</warn>
#From:GW_SCHEDULES_IN_USE_INVALID.s2,can't be deleted or renamed because it is used.
GW_SCHEDULES_IN_USE_INVALID.s2,non può essere cancellato o rinominato perchè in uso.
#From:TA16,To use this feature, you must first have a Dynamic DNS account from one of the providers in the drop down menu.
TA16,Per utilizzare questa funzione è necessario disporre di un account DNS dinamico, fornito da uno dei provider elencati nel menu a cascata.
#From:tf.ADS,Available Download Site
tf.ADS,Sito disponibile per il download
#From:WIFISC_AP_PROXY_PROCESS_CLOSE,STA with MAC (%m) WPS process closed
WIFISC_AP_PROXY_PROCESS_CLOSE,STA con MAC (%m) processo WPS chiuso
#From:tf.intro.FWU2,to improve functionality and performance.
tf.intro.FWU2,per incrementare funzionalit? e prestazioni.
#From:WIFISC_IR_REGISTRATION_INPROGRESS,WPS Internal Registrar started %s registration
WIFISC_IR_REGISTRATION_INPROGRESS,WPS Internal Registrar ha avviato la registrazione %s
#From:IPMSCHAP_AUTH_TIMEOUT,MSCHAP authentication timed out - authentication failed.
IPMSCHAP_AUTH_TIMEOUT,Time out per l'autenticazione MSCHAP  - errore di autenticazione.
#From:tf.LFWD,Latest Firmware Date
tf.LFWD,Data ultimo firmware
#From:WIFISC_IR_REGISTRATION_FAIL_1,WPS Internal Registrar failed to add new station, reason %s
WIFISC_IR_REGISTRATION_FAIL_1,WPS Internal Registrar non è riuscito ad aggiungere una nuova stazione, causa %s
#From:GW_INET_ACCESS_DROP_PORT_FILTER_WITH_PORT,Internet access port filter dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_PORT_FILTER_WITH_PORT,Il filtro della porta di accesso a Internet ha cancellato un pacchetto da %v:%u a %v:%u (protocollo %u)
#From:GW_DHCP_SERVER_WINS_MODE_INVALID,WINS/NetBIOS may not operate in this mode given your Internet connection settings.
GW_DHCP_SERVER_WINS_MODE_INVALID,Considerate le impostazioni di connessione a Internet, WINS/NetBIOS potrebbe non funzionare in questa modalit?.
#From:IPMSCHAP_AUTH_SUCCESS,MSCHAP authentication successful.
IPMSCHAP_AUTH_SUCCESS,Autenticazione MSCHAP effettuata con successo.
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS_WARNING,<warn>Route gateway IP %v matches the address of the intended interface and will be disabled.</warn>
GW_ROUTES_GATEWAY_IP_ADDRESS_CONFLICTS_WARNING,L'indirizzo IP %v del <warn>gateway di percorso corrisponde all'indirizzo dell'interfaccia designata e sar? disabilitato.</warn>
#From:GW_SCHEDULES_IN_USE_INVALID.s1,Schedule
GW_SCHEDULES_IN_USE_INVALID.s1,Pianificazione
#From:GW_UPNP_IGD_PORTMAP_RELEASE,UPnP deleted entry %v <-> %v:%d <-> %v%d %s '%s' (client released address)
GW_UPNP_IGD_PORTMAP_RELEASE,Voce UPnP cancellata %v <-> %v:%d <-> %v%d %s '%s' (il client ha rilasciato l'indirizzo)
#From:WIFISC_AP_PROXY_END_ON_MSG,WPS end for STA with MAC (%m) on msg: %s
WIFISC_AP_PROXY_END_ON_MSG,Termine WPS per STA con MAC (%m) su msg: %s
#From:WIFISC_IR_REGISTRATION_SESSION_OVERLAP,WPS Internal Registrar detected session overlap between %m and %m
WIFISC_IR_REGISTRATION_SESSION_OVERLAP,WPS Internal Registrar ha individuato una sovrapposizione di sessioni tra %m e %m
#From:GW_DHCPSERVER_NEW_ASSIGNMENT,A network computer (%s) was assigned the IP address of %v.
GW_DHCPSERVER_NEW_ASSIGNMENT,Un computer di rete (%s) ha ricevuto l'indirizzo IP %v.
#From:dlink.1.YM23,Destination Port and Start Port should not be equal to 0 for Port Filter
dlink.1.YM23,La porta di destinazione e la porta di inizio non possono corrispondere a 0 per filtro porta
#From:tf.intro.FWU1,There may be new firmware for your
tf.intro.FWU1,? disponibile un nuovo firmware
#From:PPTP_EVENT_REMOTE_WINDOW_SIZE,The PPTP transmit window is %u
PPTP_EVENT_REMOTE_WINDOW_SIZE,La finestra di trasmissione PPTP è %u

#From: dlink.1.add.new,Add New
dlink.1.add.new,Aggiungi
#From: .please_wait,Please wait...
.please_wait,Attendere...

#From:.r.alert.new1,Destination IP address are same
.r.alert.new1,Gli indirizzi IP di destinazione sono gli stessi.
#From:KR58.ww,Enabling WLAN Partition prevents associated wireless clients from communicating with each other.
KR58.ww,Abilitando la partizione WLAN si impedisce la comunicazione tra i client wireless.
#From:wwl.s4.intro.z3,- Exactly 10 or 26 characters using 0-9 and A-F
wwl.s4.intro.z3,- Esattamente 10 o 26 caratteri, utilizzando 0-9 e A-F.
#From:wwl.s4.intro.za1,The WPA (Wi-Fi Protected Access) key must meet one of following guildelines:
wwl.s4.intro.za1,La chiave WPA (Wi-Fi Protected Access) deve rispettare uno dei seguenti requisiti:
#From:vs.http.port,Remote Admin Port confict with Virtual Server Item
vs.http.port,La porta di amministrazione remota è in conflitto con la voce server virtuale.
#From:tool.admin.check,, Please check
tool.admin.check,, Verificare.
#From:network.dhcp.range,DHCP Range Invalid, FROM not bigger than TO
network.dhcp.range,Gamma DHCP invalida, Da deve essere inferiore ad A
#From:KR108,This mechanism protects against activity from spoofed or forged IP addresses, mainly by blocking packets appearing on interfaces and in directions which are logically not possible.
KR108,Questo meccanismo impedisce, agli indirizzi IP contraffatti o soggetti a spoofing qualunque attivit?, bloccando i pacchetti che vengono visualizzati su interfacce e in direzioni logicamente impossibili.
#From:tool.admin.pfname,Port Forwarding Item
tool.admin.pfname,Voce inoltro porte.
#From:wps.reboot.need,Are you sure you want to reset the device to Unconfiged?
wps.reboot.need,Si desidera riavviare il dispositivo per annullarne la configurazione?
#From:wwl.s4.intro.z4,A longer WEP key is more secure than a short one
wwl.s4.intro.z4,Una chiave WEP lunga è più sicura di una corta
#From:ddns.connecting,Connecting
ddns.connecting,Connessione in corso
#From:tool.admin.portconflict,Remote Admin Port conflict with
tool.admin.portconflict,Porta di amministrazione remota in conflitto con
#From:wwz.manual.key,Manually assign a network key
wwz.manual.key,Assegnare manualmente una chiave di rete.
#From:wps.p3.5,please press the push button on your wireless device and click the below 'Connect' Button within 120 seconds
wps.p3.5,premere il pulsante sul dispositivo wireless e fare clic sul pulsante successivo 'Connetti' entro 120 secondi
#From:wwl.s4.intro.za2,- Between 8 and 63 characters (A longer WPA key is more secure than a short one)
wwl.s4.intro.za2,- Tra 8 e 63 caratteri (una chiave WEP lunga è più sicura ìdi una corta)
#From:ddns.disconnect,Disconnect
ddns.disconnect,Disconnesso.
#From:wwz.wwl.intro.s3.1,Give your network a name, using up to 32 characters.
wwz.wwl.intro.s3.1,Assegnare un nome alla rete, utilizzando fino a 32 caratteri.
#From:wwz.auto.assign.key,Automatically assign a network key (Recommended)
wwz.auto.assign.key,Assegna automaticamente una chiave di rete (consigliato).
#From:wwz.wwl.title.s3,Step 1: Welcome TO THE D-LINK WIRELESS SECURITY SETUP WIZARD
wwz.wwl.title.s3,Fase 1: Installazione guidata di D-LINK WIRELESS SECURITY.
#From:wps.p3.1,There are two ways to add wireless device to your wireless network:
wps.p3.1,Ci sono due modi per aggiungere un dispositivo alla rete wireless:
#From:tool.admin.vsname,Virtual Server Item
tool.admin.vsname,Voce server virtuale.
#From:wps.KR42,Select this option will display the current wireless settings for you to configure the wireless device manually
wps.KR42,Selezionare questa opzione per visualizzare le impostazioni wireless correnti e per configurare manualmente i dispositivi wireless
#From:wps.KR51,Select this option if your wireless device supports WPS (Wi-Fi Protected Setup)
wps.KR51,Selezionare questa opzione se il dispositivo wireless supporta WPS (Wi-Fi Protected Setup).
#From:wwz.auto.assign.key2,To prevent outsiders from accessing your network, the router will automatically assign a security (also called WEP or WPA key) to your network.
wwz.auto.assign.key2,Per impedire l'accesso alla rete da parte di utenti non autorizzati, il router assegna automaticamente alla rete una chiave di sicurezza (WEP o WPA).
#From:wwl.s4.intro.za3,- Exactly 64 characters using 0-9 and A-F
wwl.s4.intro.za3,- Esattamente 64 caratteri, utilizzando 0-9 e A-F.
#From:wps.lost,This will cause all wireless settings to be lost.
wps.lost,In questo modo tutte le impostazioni wireless vengono perse.
#From:wps.p3.2,-PIN (Personal Identification Number)
wps.p3.2,-PIN (Personal Identification Number)
#From:wwl.s4.intro.z1,The WEP (or Wired Equivalent Privacy) key must meet one of following guildelines:
wwl.s4.intro.z1,La chiave WEP (Wired Equivalent Privacy) deve rispettare uno dei seguenti requisiti:
#From:wps.KR37,Please select one of following configuration methods and click next to continue.
wps.KR37,Selezionare uno dei seguenti metodi di configurazione e fare clic su avanti per continuare.
#From:wwz.wpa.support,Use WPA encryption instead of WEP(WPA is stronger than WEP and all D-Link wireless client adapters support WPA)
wwz.wpa.support,Utilizzare la cifratura WPA invece della WEP (WPA è più potente di WEP e tutti gli adattatori D-Link per i client wireless supportano WPA)
#From:.filter.mode,Filter Mode:
.filter.mode,Modalit? filtro:
#From:network.dhcp.ip.in.server,Invalid LAN IP Address, ip address in DHCP Server range
network.dhcp.ip.in.server,Indirizzo IP di LAN non valido, indirizzo IP nella gamma del server DHCP
#From:KR22.ww,Invalid PIN number.
KR22.ww,PIN non valido.
#From:wps.messgae1_1,Please start WPS on the wireless device you are adding to your wireless network winth
wps.messgae1_1,Avviare il programma WPS sul dispositivo wireless che si desidera aggiungere alla rete wireless, entro
#From:wps.messgae1_2,Please press down the Push Button (physical or virtual) on the wireless device you are adding to your wireless network within
wps.messgae1_2,Premere il pulsante (fisico o virtuale) del dispositivo wireless da aggiungere alla rete, entro
#From:wps.LW13,Add Wireless Device WITH WPS (WI-FI PROTECTED SETUP) Wizard
wps.LW13,Aggiungere un dispositivo wireless CON l'installazione guidata WPS (WI-FI PROTECTED SETUP)
#From:td.intro.DDNS.DLINK,Sign up for D-Link's Free DDNS service at
td.intro.DDNS.DLINK,Registrarsi al servizio D-Link Free DDNS, al
#From:ddns.connected,Connected
ddns.connected,Connesso.
#From:wps.p3.3,-PBC (Push Button Configuration)
wps.p3.3,-PBC (Push Button Configuration).
